Employee ID,Name,Age,Department,Salary,Performance Score,Years at Company,Promotion Status,,,,,,,,,,,
1001,Employee_1,47,Sales,83110,2.6,27,No,,,,,,,,,,,
1002,Employee_2,55,Sales,50223,3.6,28,Yes,,,,,,,,,,,
1003,Employee_3,30,Finance,57062,4.1,23,Yes,,,,,,,,,,,
1004,Employee_4,24,Support,93922,4,9,Yes,,,,,,,,,,,
1005,Employee_5,58,IT,62632,3.6,5,Yes,,,,,,,,,,,
1006,Employee_6,28,HR,70285,3.3,16,No,,,,,,,,,,,
1007,Employee_7,32,Support,61029,4.3,20,No,,,,,,,,,,,
1008,Employee_8,56,Support,147793,4.4,28,Yes,,,,,,,,,,,
1009,Employee_9,24,HR,112816,4.6,13,No,,,,,,,,,,,
1010,Employee_10,48,IT,112895,4.1,15,No,,,,,,,,,,,
1011,Employee_11,22,Sales,135949,4.4,29,No,,,,,,,,,,,
1012,Employee_12,49,HR,104559,3.2,15,Yes,,,,,,,,,,,
1013,Employee_13,39,Marketing,129572,2.6,24,Yes,,,,,,,,,,,
1014,Employee_14,56,HR,78227,2.8,13,No,,,,,,,,,,,
1015,Employee_15,47,Sales,78257,3.4,9,Yes,,,,,,,,,,,
1016,Employee_16,44,IT,84699,4.7,20,No,,,,,,,,,,,
1017,Employee_17,53,Support,100930,4.5,3,No,,,,,,,,,,,
1018,Employee_18,39,Marketing,126269,4.9,18,No,,,,,,,,,,,
1019,Employee_19,58,IT,115894,2.9,29,Yes,,,,,,,,,,,
1020,Employee_20,59,Operations,139533,4.2,16,No,,,,,,,,,,,
1021,Employee_21,35,IT,64173,2.9,23,Yes,,,,,,,,,,,
1022,Employee_22,42,Sales,66918,5,17,No,,,,,,,,,,,
1023,Employee_23,24,Support,89904,4.4,21,No,,,,,,,,,,,
1024,Employee_24,24,Support,49244,2.7,6,No,,,,,,,,,,,
1025,Employee_25,59,Finance,118463,3.5,29,Yes,,,,,,,,,,,
1026,Employee_26,34,Operations,138265,2.6,13,No,,,,,,,,,,,
1027,Employee_27,33,Sales,55493,3.8,4,Yes,,,,,,,,,,,
1028,Employee_28,60,Support,128177,4.4,30,No,,,,,,,,,,,
1029,Employee_29,45,Finance,130974,2.9,24,No,,,,,,,,,,,
1030,Employee_30,52,Operations,64704,3.8,14,Yes,,,,,,,,,,,
1031,Employee_31,52,Marketing,63078,4.7,19,Yes,,,,,,,,,,,
1032,Employee_32,40,Sales,135526,3,27,No,,,,,,,,,,,
1033,Employee_33,23,Support,51071,3.8,25,Yes,,,,,,,,,,,
1034,Employee_34,49,HR,92705,3.7,12,Yes,,,,,,,,,,,
1035,Employee_35,50,IT,56491,4,2,Yes,,,,,,,,,,,
1036,Employee_36,57,Marketing,147145,3.6,20,Yes,,,,,,,,,,,
1037,Employee_37,51,IT,64091,3.6,20,Yes,,,,,,,,,,,
1038,Employee_38,60,Sales,70845,4.8,4,No,,,,,,,,,,,
1039,Employee_39,43,IT,126479,3.5,25,Yes,,,,,,,,,,,
1040,Employee_40,29,Support,119567,3.1,13,No,,,,,,,,,,,
1041,Employee_41,60,HR,40190,5,21,Yes,,,,,,,,,,,
1042,Employee_42,54,Sales,138922,4.9,2,No,,,,,,,,,,,
1043,Employee_43,59,Operations,148971,3.5,23,Yes,,,,,,,,,,,
1044,Employee_44,47,HR,86338,3.2,7,No,,,,,,,,,,,
1045,Employee_45,45,HR,79882,4.4,9,Yes,,,,,,,,,,,
1046,Employee_46,34,Support,134466,3.4,15,Yes,,,,,,,,,,,
1047,Employee_47,42,HR,53357,3.8,11,Yes,,,,,,,,,,,
1048,Employee_48,33,Sales,101187,5,22,No,,,,,,,,,,,
1049,Employee_49,30,Operations,81627,4.6,30,Yes,,,,,,,,,,,
1050,Employee_50,51,IT,76348,4.4,25,Yes,,,,,,,,,,,
1051,Employee_51,38,Support,102967,4.1,13,No,,,,,,,,,,,
1052,Employee_52,52,Finance,116619,4.6,15,No,,,,,,,,,,,
1053,Employee_53,42,Support,56909,3.7,11,No,,,,,,,,,,,
1054,Employee_54,35,Marketing,115926,4.2,19,No,,,,,,,,,,,
1055,Employee_55,41,HR,103484,4.4,2,No,,,,,,,,,,,
1056,Employee_56,55,Finance,147785,2.9,26,No,,,,,,,,,,,
1057,Employee_57,57,Operations,122861,3.3,7,Yes,,,,,,,,,,,
1058,Employee_58,33,IT,96861,3.4,11,No,,,,,,,,,,,
1059,Employee_59,57,Finance,44681,2.7,8,Yes,,,,,,,,,,,
1060,Employee_60,43,Operations,147716,3.9,30,No,,,,,,,,,,,
1061,Employee_61,30,Sales,58606,3.6,21,No,,,,,,,,,,,
1062,Employee_62,44,Sales,141366,2.9,3,No,,,,,,,,,,,
1063,Employee_63,24,Finance,64746,3.4,28,No,,,,,,,,,,,
1064,Employee_64,49,Marketing,66822,4.4,16,No,,,,,,,,,,,
1065,Employee_65,56,Support,91674,4.4,24,No,,,,,,,,,,,
1066,Employee_66,40,Operations,61915,3.1,5,No,,,,,,,,,,,
1067,Employee_67,53,Operations,99450,4.9,10,Yes,,,,,,,,,,,
1068,Employee_68,44,Marketing,82303,3.8,24,Yes,,,,,,,,,,,
1069,Employee_69,48,Finance,96059,3.6,25,No,,,,,,,,,,,
1070,Employee_70,28,Marketing,95041,4.4,29,No,,,,,,,,,,,
1071,Employee_71,25,Support,60145,3.7,28,Yes,,,,,,,,,,,
1072,Employee_72,30,IT,104151,2.5,21,No,,,,,,,,,,,
1073,Employee_73,23,HR,70198,2.6,18,No,,,,,,,,,,,
1074,Employee_74,51,Marketing,72372,3.2,21,No,,,,,,,,,,,
1075,Employee_75,24,Operations,95727,4.6,18,Yes,,,,,,,,,,,
1076,Employee_76,51,Operations,55047,4.2,20,Yes,,,,,,,,,,,
1077,Employee_77,42,Marketing,148103,3.5,30,No,,,,,,,,,,,
1078,Employee_78,41,Marketing,54488,3.4,9,Yes,,,,,,,,,,,
1079,Employee_79,23,IT,113940,3.5,16,Yes,,,,,,,,,,,
1080,Employee_80,40,Finance,140096,4.7,8,No,,,,,,,,,,,
1081,Employee_81,24,Support,147335,2.8,5,Yes,,,,,,,,,,,
1082,Employee_82,43,Finance,44851,4.9,14,Yes,,,,,,,,,,,
1083,Employee_83,50,Operations,77411,2.8,24,Yes,,,,,,,,,,,
1084,Employee_84,39,Marketing,66723,2.8,20,No,,,,,,,,,,,
1085,Employee_85,24,Operations,146919,2.9,28,Yes,,,,,,,,,,,
1086,Employee_86,32,IT,119981,3.8,28,Yes,,,,,,,,,,,
1087,Employee_87,39,Sales,47061,4.3,2,Yes,,,,,,,,,,,
1088,Employee_88,35,Sales,137885,3.5,11,No,,,,,,,,,,,
1089,Employee_89,24,Finance,51323,5,24,Yes,,,,,,,,,,,
1090,Employee_90,57,Support,44108,2.9,3,Yes,,,,,,,,,,,
1091,Employee_91,57,HR,78557,3.8,10,No,,,,,,,,,,,
1092,Employee_92,57,HR,116483,4.4,18,Yes,,,,,,,,,,,
1093,Employee_93,24,IT,73780,3.7,21,No,,,,,,,,,,,
1094,Employee_94,32,HR,86034,4.9,29,No,,,,,,,,,,,
1095,Employee_95,46,Marketing,74360,4.2,5,Yes,,,,,,,,,,,
1096,Employee_96,53,Support,126795,4,14,Yes,,,,,,,,,,,
1097,Employee_97,28,HR,76536,4.7,22,Yes,,,,,,,,,,,
1098,Employee_98,39,Finance,130812,4.8,16,Yes,,,,,,,,,,,
1099,Employee_99,48,IT,94345,4,19,No,,,,,,,,,,,
1100,Employee_100,54,IT,51023,4.7,25,Yes,,,,,,,,,,,
1101,Employee_101,27,HR,77222,3.6,18,No,,,,,,,,,,,
1102,Employee_102,56,Marketing,129678,4,20,No,,,,,,,,,,,
1103,Employee_103,38,Operations,121530,4.7,8,Yes,,,,,,,,,,,
1104,Employee_104,26,Finance,64278,4.4,1,Yes,,,,,,,,,,,
1105,Employee_105,54,Sales,144467,4.6,27,No,,,,,,,,,,,
1106,Employee_106,29,Finance,57592,4.1,6,No,,,,,,,,,,,
1107,Employee_107,52,Finance,129606,5,26,Yes,,,,,,,,,,,
1108,Employee_108,48,HR,148186,4.2,23,No,,,,,,,,,,,
1109,Employee_109,50,Operations,118070,4.3,19,Yes,,,,,,,,,,,
1110,Employee_110,45,Finance,88750,3.3,18,Yes,,,,,,,,,,,
1111,Employee_111,36,Operations,116463,3.8,5,Yes,,,,,,,,,,,
1112,Employee_112,30,Marketing,123536,3.1,19,No,,,,,,,,,,,
1113,Employee_113,29,Sales,146271,3.1,29,No,,,,,,,,,,,
1114,Employee_114,28,HR,48994,3.3,6,Yes,,,,,,,,,,,
1115,Employee_115,49,Sales,51828,3.2,19,No,,,,,,,,,,,
1116,Employee_116,55,Operations,77675,4.1,4,No,,,,,,,,,,,
1117,Employee_117,51,Operations,47697,3.1,2,Yes,,,,,,,,,,,
1118,Employee_118,25,Marketing,136863,3.1,20,No,,,,,,,,,,,
1119,Employee_119,36,HR,90898,3.6,29,Yes,,,,,,,,,,,
1120,Employee_120,56,Finance,64062,4.9,27,No,,,,,,,,,,,
1121,Employee_121,40,Support,88886,3.2,5,No,,,,,,,,,,,
1122,Employee_122,31,Finance,84514,4.9,4,No,,,,,,,,,,,
